day,time_index,time,PeakAcceleration value,PeakVelocity value,Band1 value,DamageAccumulation value,YR RMS Velocity value,YR Temperature value,YR Peak Acceleration value,YR Peak Velocity value,RMSVelocity value,Temperature value,YR Band 1 value,YR Damage Accumulation value,BatteryVoltage value
6,70,6070,0.0330728,0.0128583,0.0029345,0.3605956,0.0049379,66.30205269,0.0282348,0.014762,0.0045003,66.30205269,0.0037089,0.3873779,3.155164957
6,71,6071,0.0297666,0.0140724,0.0022124,0.364604,0.0045937,65.92783432,0.0293955,0.0161344,0.0041825,65.92783432,0.0022701,0.3718291,3.156239271
6,72,6072,0.030302,0.0130676,0.0042511,0.3733909,0.0047244,65.79174461,0.0315874,0.0142992,0.0041803,65.79174461,0.0035677,0.3686731,3.155164957
6,73,6073,0.0282242,0.0211063,0.0039256,0.3610728,0.0042951,65.75773163,0.0339521,0.0139998,0.0053981,65.75773163,0.004015,0.35087,3.155750751
6,74,6074,0.0314164,0.0120217,0.0045692,0.3564922,0.0048491,65.89382477,0.0319044,0.0117553,0.0045318,65.89382477,0.0037169,0.3415101,3.155360222
6,75,6075,0.0316461,0.0174125,0.0036594,0.357851,0.0039757,65.41752625,0.0309373,0.0151441,0.0045607,65.41752625,0.0036741,0.3553276,3.154773951
6,76,6076,0.0322,0.0163482,0.0049361,0.3644467,0.0046889,65.8257576,0.0314273,0.0113598,0.0053181,65.8257576,0.004362,0.3694756,3.155067205
6,77,6077,0.03241,0.0115194,0.0034229,0.3526684,0.0050616,65.58762894,0.0345088,0.0130968,0.003912,65.58762894,0.004976,0.352436,3.155750751
6,78,6078,0.0362039,0.0156479,0.0023637,0.3486599,0.0040366,65.68970566,0.0290122,0.0119983,0.0047266,65.68970566,0.0019378,0.3631515,3.155164957
6,79,6079,0.0323983,0.0135325,0.0037582,0.3477678,0.0035974,65.92783432,0.027403,0.0141919,0.0045286,65.92783432,0.0018218,0.3745133,3.155848742
6,80,6080,0.03211,0.0184499,0.0079211,0.3707575,0.0038209,65.8257576,0.0337749,0.0106186,0.005902,65.8257576,0.0027073,0.3711739,3.155067205
6,81,6081,0.0309215,0.0129137,0.0028867,0.3567418,0.0041863,66.06392746,0.0310401,0.0153562,0.0044929,66.06392746,0.0043733,0.3569026,3.154480934
6,82,6082,0.0340276,0.0150198,0.0036844,0.3570834,0.0046988,65.4515358,0.0301778,0.0130431,0.0048854,65.4515358,0.0033869,0.3383571,3.155067205
6,83,6083,0.0351622,0.0151996,0.0026952,0.3658297,0.0038618,65.75773163,0.0357762,0.0116914,0.0043008,65.75773163,0.0023014,0.3659349,3.154578686
6,84,6084,0.0379523,0.0116097,0.0042351,0.3711534,0.0041538,65.4515358,0.0359713,0.0128063,0.0041848,65.4515358,0.003032,0.3657275,3.154773951
6,85,6085,0.0394309,0.0160688,0.0022455,0.3632614,0.0053653,65.8257576,0.0312305,0.0184107,0.0047413,65.8257576,0.0039234,0.3557544,3.154578686
6,86,6086,0.0378152,0.014811,0.0038407,0.3600315,0.0048691,65.8257576,0.0325625,0.0145241,0.0044518,65.8257576,0.0067659,0.351366,3.154285669
6,87,6087,0.0307442,0.0126749,0.004828,0.3607338,0.0045099,65.99586029,0.0286087,0.0137886,0.0047078,65.99586029,0.0046998,0.3513329,3.154480934
6,88,6088,0.0336766,0.0121555,0.001499,0.3573574,0.0049287,65.65565491,0.0286238,0.0153947,0.0033349,65.65565491,0.0025643,0.348261,3.154676437
6,89,6089,0.0393975,0.0140208,0.0037744,0.3598932,0.004748,66.40413284,0.033725,0.0135729,0.0044109,66.40413284,0.0046628,0.360798,3.154578686
6,90,6090,0.0396428,0.0149315,0.0034159,0.3547159,0.0042538,65.89382477,0.0363801,0.0129217,0.0048968,65.89382477,0.0026783,0.3703172,3.154480934
6,91,6091,0.035755,0.0132898,0.0033448,0.3451018,0.0036657,65.72372208,0.0312872,0.0110864,0.0047504,65.72372208,0.0041615,0.364444,3.154578686
6,92,6092,0.0306092,0.0126282,0.0041157,0.3634513,0.0032562,66.02991104,0.0313868,0.0091754,0.0043274,66.02991104,0.0022213,0.3694636,3.154383421
6,93,6093,0.0316355,0.0169195,0.0026145,0.3738085,0.0044951,66.09793701,0.0305968,0.0138647,0.0050708,66.09793701,0.0025498,0.3735364,3.154480934
6,94,6094,0.0384519,0.0213514,0.0024978,0.3676929,0.0041053,65.72372208,0.0407035,0.0128459,0.0047797,65.72372208,0.0026386,0.3611707,3.15389514
6,95,6095,0.0313822,0.0134899,0.0028664,0.3722437,0.0043974,65.99586029,0.0288583,0.0140204,0.0046615,65.99586029,0.0043745,0.3517567,3.154188156
6,96,6096,0.0353723,0.016866,0.0021613,0.3503821,0.0036746,65.92783432,0.0300483,0.0109552,0.0042863,65.92783432,0.0038477,0.3601127,3.153992653
6,97,6097,0.0340356,0.0137282,0.0035328,0.3572219,0.0045424,65.85980835,0.0313793,0.0132055,0.0041194,65.85980835,0.0035838,0.3580327,3.154383421
6,98,6098,0.02907,0.0132566,0.0023248,0.3644928,0.0044365,65.85980835,0.0310824,0.0118796,0.0041705,65.85980835,0.0029445,0.3659499,3.153992653
6,99,6099,0.0325827,0.0143888,0.0057454,0.3583121,0.0043094,66.13195,0.0296892,0.0151149,0.0050764,66.13195,0.0045017,0.3626225,3.153699636
6,100,6100,0.0303198,0.0126673,0.0048536,0.3641375,0.0038528,66.2680397,0.0370088,0.0138804,0.0043375,66.2680397,0.0042142,0.3525262,3.154090405
6,101,6101,0.0313315,0.0156149,0.0024693,0.3647043,0.0040167,65.92783432,0.0305078,0.0104515,0.0044037,65.92783432,0.0028924,0.3735364,3.153504133
6,102,6102,0.0351826,0.0138678,0.0019395,0.3543389,0.004112,65.92783432,0.0269522,0.0120622,0.0041616,65.92783432,0.0024222,0.3590066,3.153699636
6,103,6103,0.0314965,0.0120973,0.0030829,0.3660819,0.0046614,65.85980835,0.0285711,0.0145638,0.00454,65.85980835,0.0040684,0.3610114,3.153992653
6,104,6104,0.0357218,0.0153193,0.0019737,0.3609834,0.004341,65.68970566,0.0271821,0.0125225,0.0039426,65.68970566,0.0034255,0.3425261,3.154285669
6,105,6105,0.0304397,0.0132878,0.0032254,0.3844451,0.0041947,66.06392746,0.0301273,0.0128782,0.0044444,66.06392746,0.0027224,0.3621777,3.15379715
6,106,6106,0.0360972,0.0165418,0.002704,0.3526655,0.0049388,65.96184731,0.0305126,0.0165169,0.0045958,65.96184731,0.0054505,0.3647205,3.153699636
6,107,6107,0.0345383,0.0157592,0.0040984,0.3529829,0.0046946,65.96184731,0.0314092,0.0164632,0.0045314,65.96184731,0.0032651,0.3507167,3.154090405
6,108,6108,0.0321559,0.0156819,0.0056345,0.3647259,0.0049998,65.89382477,0.0286184,0.0143815,0.0054742,65.89382477,0.0066749,0.3526765,3.153308868
6,109,6109,0.0361512,0.0147402,0.0014766,0.3827094,0.0051176,65.8257576,0.0291099,0.0150686,0.0043125,65.8257576,0.0033767,0.3523128,3.153308868
6,110,6110,0.0310975,0.0121687,0.0025274,0.375254,0.0044268,66.16596298,0.0287421,0.0132713,0.004364,66.16596298,0.0041197,0.3709575,3.154090405
6,111,6111,0.041963,0.0109201,0.0024998,0.3733285,0.0042839,65.79174461,0.0282226,0.0133216,0.0039364,65.79174461,0.0044086,0.3709755,3.153211355
6,112,6112,0.0386176,0.0128675,0.0030785,0.3572191,0.0035584,66.06392746,0.0260333,0.0098171,0.0039844,66.06392746,0.0028207,0.3585948,3.153308868
6,113,6113,0.0349036,0.0131965,0.0024184,0.371205,0.0036141,66.30205269,0.0347401,0.0103301,0.0040777,66.30205269,0.0021474,0.3716848,3.152918339
6,114,6114,0.0422449,0.0137567,0.0028838,0.3717446,0.0041622,66.30205269,0.0332978,0.0118499,0.0046066,66.30205269,0.0024524,0.3557243,3.153113604
6,115,6115,0.0295259,0.0128756,0.003972,0.3501326,0.0033518,65.85980835,0.0263917,0.0108509,0.004596,65.85980835,0.0032199,0.3482069,3.153211355
6,116,6116,0.0359625,0.0138646,0.0044059,0.3721135,0.0048081,66.16596298,0.0314905,0.013888,0.0043927,66.16596298,0.0031207,0.3642306,3.15340662
6,117,6117,0.0393639,0.0199669,0.0034941,0.3580653,0.003595,65.8257576,0.02982,0.012193,0.0048487,65.8257576,0.0029255,0.3825987,3.152332067
6,118,6118,0.0344955,0.0139678,0.004503,0.3783321,0.0046858,66.06392746,0.0293024,0.015373,0.0041113,66.06392746,0.0033621,0.374922,3.153015852
6,119,6119,0.0348513,0.0142575,0.004598,0.3714681,0.0044154,66.09793701,0.0366207,0.0130846,0.0041725,66.09793701,0.0034956,0.3579696,3.152820349
6,120,6120,0.0328777,0.0143728,0.0052608,0.3591474,0.0042613,66.20001717,0.0319683,0.0107808,0.004745,66.20001717,0.0045954,0.3662144,3.152918339
6,121,6121,0.0333569,0.0142034,0.0061567,0.3631232,0.0039793,66.09793701,0.0260205,0.013209,0.005055,66.09793701,0.0027785,0.3588804,3.153211355
6,122,6122,0.0340613,0.0152074,0.0026779,0.344036,0.0054645,65.99586029,0.0342193,0.0185755,0.0048962,65.99586029,0.0025935,0.384336,3.152820349
6,123,6123,0.0298498,0.0129854,0.0035822,0.370649,0.0038754,66.23403015,0.0296115,0.0131554,0.0045392,66.23403015,0.0021372,0.3731937,3.152820349
6,124,6124,0.0316032,0.0139663,0.0062009,0.3594891,0.0043904,66.23403015,0.0311186,0.0130885,0.0049911,66.23403015,0.0020875,0.3542184,3.152429819
6,125,6125,0.0348368,0.0160814,0.0037363,0.3586049,0.0042149,66.13195,0.0302638,0.0123976,0.0050761,66.13195,0.0046168,0.3548046,3.152625084
6,126,6126,0.0372307,0.0159692,0.0035354,0.3732091,0.0036475,66.30205269,0.0267175,0.0106066,0.0042892,66.30205269,0.0016257,0.3673115,3.152136803
6,127,6127,0.0332159,0.0146737,0.0056794,0.3738519,0.0053857,66.4381424,0.0329364,0.0189183,0.0051918,66.4381424,0.006456,0.3611166,3.152234554
6,128,6128,0.0344614,0.0147666,0.0040731,0.3639883,0.0045133,66.33606567,0.0322698,0.0127642,0.004807,66.33606567,0.0051552,0.3675429,3.151843548
6,129,6129,0.0326893,0.0157601,0.0041921,0.3802523,0.0045094,66.13195,0.0316041,0.0179224,0.0045926,66.13195,0.0050487,0.372836,3.151843548
6,130,6130,0.0333198,0.0118775,0.003278,0.3652087,0.0047137,66.16596298,0.0348182,0.0153299,0.0044247,66.16596298,0.0025775,0.3664248,3.152527332
6,131,6131,0.0408493,0.0119124,0.0038533,0.3691439,0.0047217,66.02991104,0.0288062,0.0121482,0.0041219,66.02991104,0.0042393,0.3664669,3.152722836
6,132,6132,0.0353265,0.0173896,0.0041499,0.383203,0.0042076,66.23403015,0.031839,0.012596,0.0044873,66.23403015,0.0031242,0.3757667,3.151941538
6,133,6133,0.0348465,0.0123682,0.003855,0.3522967,0.0046748,65.85980835,0.0339475,0.0146887,0.004581,65.85980835,0.0031432,0.3667314,3.152136803
6,134,6134,0.0320094,0.0145238,0.0039866,0.3599637,0.0043681,66.20001717,0.0297031,0.0124979,0.0047786,66.20001717,0.0025345,0.3615314,3.152332067
6,135,6135,0.0304513,0.0197642,0.0021112,0.3639151,0.0047148,66.02991104,0.0306626,0.0132607,0.0049411,66.02991104,0.0044237,0.3730795,3.151843548
6,136,6136,0.034348,0.0146892,0.0037371,0.3691248,0.0043802,66.06392746,0.0299845,0.0133172,0.0040733,66.06392746,0.0031278,0.353479,3.151746035
6,137,6137,0.0326958,0.0137865,0.0036563,0.373323,0.0042543,66.20001717,0.026263,0.0118973,0.0043012,66.20001717,0.0047952,0.3599654,3.151550531
6,138,6138,0.0431534,0.0162552,0.0036624,0.365187,0.00465,66.30205269,0.0289615,0.0143296,0.0049869,66.30205269,0.0021565,0.3622227,3.152234554
6,139,6139,0.0437119,0.0187534,0.003988,0.3512824,0.0047329,66.13195,0.0345623,0.0146533,0.0045012,66.13195,0.0045534,0.3632597,3.152136803
6,140,6140,0.0341019,0.0154311,0.002605,0.3614769,0.0045817,66.20001717,0.0293984,0.0156932,0.0047388,66.20001717,0.004488,0.3555289,3.151941538
6,141,6141,0.0344491,0.0127787,0.002749,0.3667789,0.0041602,66.13195,0.0311075,0.0115861,0.0040787,66.13195,0.0044255,0.3387088,3.151746035
6,142,6142,0.0408374,0.0145381,0.003831,0.3873767,0.0053742,66.06392746,0.0291395,0.0192632,0.0049252,66.06392746,0.0039841,0.3594875,3.152136803
6,143,6143,0.0308545,0.0126013,0.0028318,0.3627543,0.0053185,66.13195,0.0326162,0.0157453,0.0044537,66.13195,0.0061959,0.3569447,3.152234554
6,144,6144,0.0353955,0.0140732,0.0042091,0.3519116,0.0048568,66.06392746,0.0313694,0.0160383,0.0045905,66.06392746,0.0052508,0.3680419,3.151746035
6,145,6145,0.0354481,0.0183752,0.0047649,0.3511551,0.0047563,66.02989388,0.03054,0.0156568,0.0053812,66.02989388,0.0046733,0.3648828,3.151794792
7,2,7002,0.0313079,0.014441,0.0041075,0.3547593,0.0043196,65.99586029,0.0278906,0.0119428,0.0050042,65.99586029,0.0035613,0.3505604,3.151843548
7,3,7003,0.0330983,0.0177754,0.0040373,0.3652603,0.0049801,65.75773163,0.0338534,0.0169818,0.0049478,65.75773163,0.0032539,0.3516155,3.151648283
7,4,7004,0.0392246,0.0144947,0.0044225,0.3521558,0.0047442,65.79174461,0.0279889,0.0170601,0.0047488,65.79174461,0.0025645,0.3664398,3.151355267
7,5,7005,0.0308861,0.0102044,0.0013631,0.369895,0.0036931,66.23403015,0.0337634,0.0104105,0.003279,66.23403015,0.0030061,0.3578253,3.151550531
7,6,7006,0.0379832,0.0195899,0.0032276,0.3723006,0.0045962,66.30205269,0.0323286,0.0134324,0.0051653,66.30205269,0.003175,0.3588233,3.151453018
7,7,7007,0.0326812,0.0148602,0.0034505,0.3645469,0.0039392,66.08093052,0.0326406,0.014045,0.0054902,66.08093052,0.0039864,0.3664699,3.151355386
7,8,7008,0.0324858,0.0118115,0.0025247,0.3749936,0.004795,65.96184731,0.0351125,0.0134775,0.004172,65.96184731,0.0032451,0.3726978,3.151648283
7,9,7009,0.0380657,0.0152678,0.0056922,0.373597,0.005029,66.06392746,0.0352508,0.0127725,0.0047745,66.06392746,0.0049198,0.3767375,3.151453018
7,10,7010,0.0365393,0.0145053,0.0028876,0.3627814,0.0042121,65.96184731,0.0314527,0.011795,0.0046478,65.96184731,0.0016638,0.3560009,3.152234554
7,11,7011,0.0426316,0.0165482,0.0057093,0.3368058,0.0049362,66.06392746,0.0306577,0.013947,0.0057946,66.06392746,0.0049044,0.3477801,3.150866747
7,12,7012,0.0385274,0.0212571,0.0043765,0.3567824,0.0048153,66.06392746,0.0292327,0.014228,0.0048853,66.06392746,0.0039238,0.3515854,3.151355267
7,13,7013,0.0347301,0.0136822,0.0030683,0.3777952,0.0043811,65.75773163,0.0261364,0.0126145,0.0048033,65.75773163,0.0030106,0.3368903,3.151453018
7,14,7014,0.0334197,0.0129769,0.0028644,0.3558061,0.0049528,65.75773163,0.0269593,0.0149191,0.0043902,65.75773163,0.0028565,0.3614563,3.151257753
7,15,7015,0.0377644,0.0113813,0.003689,0.3652385,0.0043975,65.8257576,0.0341489,0.014501,0.0042898,65.8257576,0.0039149,0.3720576,3.151160002
7,16,7016,0.038313,0.0151665,0.0021777,0.3629279,0.0041322,65.89382477,0.0346696,0.0148934,0.0046066,65.89382477,0.0027649,0.3479334,3.151257753
7,17,7017,0.0411883,0.0143724,0.0022233,0.3595514,0.0041826,65.85980835,0.0264524,0.0114151,0.0037771,65.85980835,0.0046102,0.3661783,3.151257753
7,18,7018,0.031452,0.0172873,0.0055357,0.3365806,0.0041131,65.89382477,0.0291551,0.0110935,0.0049194,65.89382477,0.0031399,0.3638158,3.150671482
7,19,7019,0.0381547,0.01652,0.0029136,0.3501109,0.0038503,65.89382477,0.0308911,0.0134112,0.0047375,65.89382477,0.0021936,0.397925,3.151550531
7,20,7020,0.0318708,0.0139385,0.0036327,0.3581683,0.0046193,65.79174461,0.0311344,0.0126209,0.0046168,65.79174461,0.0034382,0.352926,3.151160002
7,21,7021,0.0343413,0.0141022,0.0027049,0.3391842,0.0054755,66.37011986,0.0319178,0.0144163,0.0044267,66.37011986,0.0056738,0.3574947,3.150866747
7,22,7022,0.0331647,0.0163781,0.0031378,0.3560421,0.0049078,66.02991104,0.0376392,0.0128591,0.0046258,66.02991104,0.0048579,0.3708763,3.150866747
7,23,7023,0.037536,0.0150124,0.0056052,0.3582958,0.0042092,65.99586029,0.0311589,0.0128219,0.0047517,65.99586029,0.0030859,0.3649279,3.150671482
7,24,7024,0.0357421,0.0164749,0.002364,0.36465,0.005146,66.13195,0.026159,0.018719,0.0048255,66.13195,0.0044942,0.3491958,3.150964737
7,25,7025,0.0298833,0.012502,0.0046799,0.364075,0.0048607,65.72372208,0.0303054,0.0170908,0.0043545,65.72372208,0.0033509,0.3563886,3.150769234
7,26,7026,0.032436,0.0197258,0.0025468,0.3674651,0.0051237,65.99586029,0.0299,0.0144704,0.0050457,65.99586029,0.0022937,0.3573354,3.150671482
7,27,7027,0.0322656,0.0136771,0.002558,0.3749313,0.0045306,65.72372208,0.0328273,0.0136113,0.0042635,65.72372208,0.0033164,0.3673566,3.150085449
7,28,7028,0.0338503,0.0159622,0.0029687,0.3603867,0.0052672,65.96184731,0.0407972,0.0163842,0.0048056,65.96184731,0.0056578,0.3692051,3.150280952
7,29,7029,0.0352529,0.0129223,0.0039728,0.3725094,0.0041617,65.92783432,0.0326901,0.0123082,0.0040653,65.92783432,0.0037498,0.3585107,3.150280952
7,30,7030,0.0361218,0.0156537,0.0049875,0.3573601,0.0045963,65.89382477,0.0409808,0.013909,0.0057312,65.89382477,0.0035723,0.3668576,3.150866747
7,31,7031,0.0335454,0.0153677,0.0039322,0.3719589,0.0043436,66.23403015,0.0320775,0.0138951,0.0051115,66.23403015,0.0029751,0.3541012,3.150378466
7,32,7032,0.0370526,0.0139224,0.0028084,0.3478979,0.0054749,65.92783432,0.028839,0.0146531,0.0044455,65.92783432,0.0023709,0.3458354,3.149987936
7,33,7033,0.0337462,0.0132395,0.0029541,0.3505611,0.0041192,65.79174461,0.0318113,0.0136788,0.004565,65.79174461,0.002471,0.3544409,3.150183201
7,34,7034,0.0376791,0.0144878,0.0037632,0.3680888,0.0033209,65.68970566,0.0285128,0.0097917,0.0045176,65.68970566,0.0022404,0.3560159,3.150476217
7,35,7035,0.0362452,0.0136539,0.0012318,0.3719915,0.0050378,65.8257576,0.0331715,0.0175448,0.0043237,65.8257576,0.0018585,0.3519822,3.150378466
7,36,7036,0.030577,0.0141995,0.0022231,0.3633754,0.0046108,65.72372208,0.0289215,0.0130241,0.0043297,65.72372208,0.0024571,0.3560099,3.150671482
7,37,7037,0.0332145,0.012614,0.0026776,0.3596354,0.0039792,65.99586029,0.026523,0.01395,0.0044814,65.99586029,0.0016507,0.3716578,3.15106225
7,38,7038,0.0308597,0.015646,0.0039158,0.3757286,0.005493,65.92783432,0.0280269,0.0158889,0.0054546,65.92783432,0.0045615,0.3594815,3.150183201
7,39,7039,0.0361163,0.0192036,0.0025096,0.3716199,0.0042231,65.58762894,0.0300053,0.0120096,0.0047277,65.58762894,0.0026261,0.3600766,3.15057373
7,40,7040,0.0364799,0.011619,0.0030527,0.3528202,0.0040022,66.13195,0.0304641,0.0120664,0.0041989,66.13195,0.0034477,0.3660851,3.15057373
7,41,7041,0.0341697,0.0169699,0.0045647,0.3606905,0.0042776,65.99586029,0.0318135,0.0121388,0.0051182,65.99586029,0.0029221,0.3483723,3.150378466
7,42,7042,0.0327628,0.012661,0.0049634,0.3782047,0.0049356,66.06392746,0.0329249,0.0140486,0.0048151,66.06392746,0.0033329,0.3567312,3.150476217
7,43,7043,0.0324657,0.0153643,0.0036409,0.345994,0.0046555,65.89382477,0.0268664,0.0133808,0.0050836,65.89382477,0.0036366,0.3630824,3.150280952
7,44,7044,0.0365971,0.0114023,0.0048219,0.3545369,0.0041389,65.79174461,0.0277062,0.0130639,0.0039905,65.79174461,0.0035355,0.3586369,3.149987936
7,45,7045,0.0305852,0.0139552,0.0053762,0.3440197,0.0045699,65.96184731,0.0300815,0.013702,0.0042762,65.96184731,0.0054472,0.3652946,3.149401665
7,46,7046,0.0299132,0.01384,0.0045713,0.3527361,0.0049728,66.67627106,0.0312932,0.0144073,0.0043107,66.67627106,0.0059356,0.3784358,3.149694681
7,47,7047,0.0336736,0.0144227,0.0042905,0.3709744,0.0037486,65.96184731,0.0297284,0.0123514,0.0044731,65.96184731,0.003342,0.3573564,3.149401665
7,48,7048,0.0359992,0.0137283,0.0038339,0.3671179,0.0050372,66.02991104,0.0331556,0.0164143,0.0041374,66.02991104,0.007449,0.3768427,3.149694681
7,49,7049,0.0434512,0.0140068,0.0036781,0.3700632,0.0044276,65.79174461,0.0285702,0.0145321,0.0040038,65.79174461,0.001572,0.3652135,3.149499416
7,50,7050,0.0326147,0.0165165,0.0022825,0.3668007,0.0053235,66.06392746,0.0312156,0.0141845,0.0041652,66.06392746,0.0031305,0.3468273,3.1492064
